--Rotas do 1º turno-----------------------------
94 -> 515 (165)
271 -> 459 (185)
272 -> 245 (197)
286 -> 705 (137)
370 -> 903 (46)
478 -> 370 (46)
515 -> 908 (165)
533 -> 286 (137)
568 -> 271 (185)
747 -> 29 (165)
874 -> 24 (46)
903 -> 874 (46)
908 -> 747 (165)
Fluxo: 730
Arestas removidas: 140506

--Rotas do 39º turno-----------------------------
24 -> 646 (46)
94 -> 515 (165)
271 -> 459 (185)
272 -> 245 (197)
370 -> 903 (46)
478 -> 370 (46)
515 -> 908 (165)
568 -> 271 (185)
747 -> 29 (165)
874 -> 24 (46)
903 -> 874 (46)
908 -> 747 (165)
Fluxo: 593
Arestas removidas: 140506

--Rotas do 40º turno-----------------------------
24 -> 646 (46)
94 -> 515 (165)
271 -> 459 (123)
272 -> 245 (197)
370 -> 903 (46)
478 -> 370 (46)
515 -> 908 (165)
568 -> 271 (123)
747 -> 29 (165)
813 -> 568 (87)
874 -> 24 (46)
903 -> 874 (46)
908 -> 747 (165)
Fluxo: 531
Arestas removidas: 140511

--Rotas do 41º turno-----------------------------
24 -> 646 (46)
94 -> 515 (165)
271 -> 459 (87)
272 -> 245 (197)
370 -> 903 (46)
478 -> 370 (46)
515 -> 908 (165)
568 -> 271 (87)
747 -> 29 (165)
813 -> 568 (87)
874 -> 24 (46)
903 -> 874 (46)
908 -> 747 (165)
Fluxo: 495
Arestas removidas: 140511

--Rotas do 42º turno-----------------------------
24 -> 646 (46)
94 -> 515 (165)
271 -> 459 (87)
272 -> 245 (197)
370 -> 903 (46)
478 -> 370 (46)
515 -> 908 (165)
568 -> 271 (87)
747 -> 29 (165)
813 -> 568 (87)
874 -> 24 (46)
903 -> 874 (46)
908 -> 747 (165)
Fluxo: 495
Arestas removidas: 140511

--Rotas do 43º turno-----------------------------
24 -> 646 (46)
94 -> 515 (165)
271 -> 459 (87)
272 -> 245 (197)
370 -> 903 (46)
478 -> 370 (46)
515 -> 908 (165)
568 -> 271 (87)
